FSRQ,DWJZ,LJJZ,SDATE,ACTUALSYI,NAVTYPE,JZZZL,SGZT,SHZT,FHFCZ,FHFCBZ,DTYPE,FHSP
2024-01-04,1.4681,1.5131,,,1,-0.16,开放申购,开放赎回,,,,
2024-01-05,1.4511,1.4961,,,1,-1.16,开放申购,开放赎回,,,,
2024-01-08,1.4361,1.4811,,,1,-1.03,开放申购,开放赎回,,,,
2024-01-09,1.4419,1.4869,,,1,0.40,开放申购,开放赎回,,,,
2024-01-10,1.4323,1.4773,,,1,-0.67,开放申购,开放赎回,,,,
2024-01-11,1.4459,1.4909,,,1,0.95,开放申购,开放赎回,,,,
2024-01-12,1.4329,1.4779,,,1,-0.90,开放申购,开放赎回,,,,
2024-01-15,1.4316,1.4766,,,1,-0.09,开放申购,开放赎回,,,,
2024-01-16,1.4301,1.4751,,,1,-0.10,开放申购,开放赎回,,,,
2024-01-17,1.4139,1.4589,,,1,-1.13,开放申购,开放赎回,,,,
2024-01-18,1.4310,1.4760,,,1,1.21,开放申购,开放赎回,,,,
2024-01-19,1.4277,1.4727,,,1,-0.23,开放申购,开放赎回,,,,
2024-01-22,1.4020,1.4470,,,1,-1.80,开放申购,开放赎回,,,,
2024-01-23,1.4216,1.4666,,,1,1.40,开放申购,开放赎回,,,,
2024-01-24,1.4224,1.4674,,,1,0.06,开放申购,开放赎回,,,,
2024-01-25,1.4373,1.4823,,,1,1.05,开放申购,开放赎回,,,,
2024-01-26,1.4208,1.4658,,,1,-1.15,开放申购,开放赎回,,,,
2024-01-29,1.3931,1.4381,,,1,-1.95,开放申购,开放赎回,,,,
2024-01-30,1.3757,1.4207,,,1,-1.25,开放申购,开放赎回,,,,
2024-01-31,1.3553,1.4003,,,1,-1.48,开放申购,开放赎回,,,,
2024-02-01,1.3693,1.4143,,,1,1.03,开放申购,开放赎回,,,,
2024-02-02,1.3547,1.3997,,,1,-1.07,开放申购,开放赎回,,,,
2024-02-05,1.3287,1.3737,,,1,-1.92,开放申购,开放赎回,,,,
2024-02-06,1.3797,1.4247,,,1,3.84,开放申购,开放赎回,,,,
2024-02-07,1.3906,1.4356,,,1,0.79,开放申购,开放赎回,,,,
2024-02-08,1.4173,1.4623,,,1,1.92,开放申购,开放赎回,,,,
2024-02-19,1.4620,1.5070,,,1,3.15,开放申购,开放赎回,,,,
2024-02-20,1.4638,1.5088,,,1,0.12,开放申购,开放赎回,,,,
2024-02-21,1.4575,1.5025,,,1,-0.43,开放申购,开放赎回,,,,
2024-02-22,1.4731,1.5181,,,1,1.07,开放申购,开放赎回,,,,
2024-02-23,1.4903,1.5353,,,1,1.17,开放申购,开放赎回,,,,
2024-02-26,1.5019,1.5469,,,1,0.78,开放申购,开放赎回,,,,
2024-02-27,1.5418,1.5868,,,1,2.66,开放申购,开放赎回,,,,
2024-02-28,1.4911,1.5361,,,1,-3.29,开放申购,开放赎回,,,,
2024-02-29,1.5299,1.5749,,,1,2.60,开放申购,开放赎回,,,,
2024-03-01,1.5534,1.5984,,,1,1.54,开放申购,开放赎回,,,,
2024-03-04,1.5727,1.6177,,,1,1.24,开放申购,开放赎回,,,,
2024-03-05,1.5567,1.6017,,,1,-1.02,开放申购,开放赎回,,,,
2024-03-06,1.5641,1.6091,,,1,0.48,开放申购,开放赎回,,,,
2024-03-07,1.5368,1.5818,,,1,-1.75,开放申购,开放赎回,,,,
2024-03-08,1.5640,1.6090,,,1,1.77,开放申购,开放赎回,,,,
2024-03-11,1.5811,1.6261,,,1,1.09,开放申购,开放赎回,,,,
2024-03-12,1.5763,1.6213,,,1,-0.30,开放申购,开放赎回,,,,
2024-03-13,1.5813,1.6263,,,1,0.32,开放申购,开放赎回,,,,
2024-03-14,1.5803,1.6253,,,1,-0.06,开放申购,开放赎回,,,,
2024-03-15,1.6083,1.6533,,,1,1.77,开放申购,开放赎回,,,,
2024-03-18,1.6330,1.6780,,,1,1.54,开放申购,开放赎回,,,,
2024-03-19,1.6238,1.6688,,,1,-0.56,开放申购,开放赎回,,,,
2024-03-20,1.6214,1.6664,,,1,-0.15,开放申购,开放赎回,,,,
2024-03-21,1.6175,1.6625,,,1,-0.24,开放申购,开放赎回,,,,
2024-03-22,1.6137,1.6587,,,1,-0.23,开放申购,开放赎回,,,,
2024-03-25,1.5762,1.6212,,,1,-2.32,开放申购,开放赎回,,,,
2024-03-26,1.5530,1.5980,,,1,-1.47,开放申购,开放赎回,,,,
2024-03-27,1.5149,1.5599,,,1,-2.45,开放申购,开放赎回,,,,
2024-03-28,1.5444,1.5894,,,1,1.95,开放申购,开放赎回,,,,
2024-03-29,1.5458,1.5908,,,1,0.09,开放申购,开放赎回,,,,
2024-04-01,1.5725,1.6175,,,1,1.73,开放申购,开放赎回,,,,
2024-04-02,1.5555,1.6005,,,1,-1.08,开放申购,开放赎回,,,,
2024-04-03,1.5299,1.5749,,,1,-1.65,开放申购,开放赎回,,,,
2024-04-08,1.5195,1.5645,,,1,-0.68,开放申购,开放赎回,,,,
2024-04-09,1.5221,1.5671,,,1,0.17,开放申购,开放赎回,,,,
2024-04-10,1.4953,1.5403,,,1,-1.76,开放申购,开放赎回,,,,
2024-04-11,1.4989,1.5439,,,1,0.24,开放申购,开放赎回,,,,
2024-04-12,1.5080,1.5530,,,1,0.61,开放申购,开放赎回,,,,
2024-04-15,1.5007,1.5457,,,1,-0.48,开放申购,开放赎回,,,,
2024-04-16,1.4633,1.5083,,,1,-2.49,开放申购,开放赎回,,,,
2024-04-17,1.5110,1.5560,,,1,3.26,开放申购,开放赎回,,,,
2024-04-18,1.5129,1.5579,,,1,0.13,开放申购,开放赎回,,,,
2024-04-19,1.4921,1.5371,,,1,-1.37,开放申购,开放赎回,,,,
2024-04-22,1.4794,1.5244,,,1,-0.85,开放申购,开放赎回,,,,
2024-04-23,1.4897,1.5347,,,1,0.70,开放申购,开放赎回,,,,
2024-04-24,1.5228,1.5678,,,1,2.22,开放申购,开放赎回,,,,
2024-04-25,1.5150,1.5600,,,1,-0.51,开放申购,开放赎回,,,,
2024-04-26,1.5540,1.5990,,,1,2.57,开放申购,开放赎回,,,,
2024-04-29,1.5809,1.6259,,,1,1.73,开放申购,开放赎回,,,,
2024-04-30,1.5707,1.6157,,,1,-0.65,开放申购,开放赎回,,,,
2024-05-06,1.5745,1.6195,,,1,0.24,开放申购,开放赎回,,,,
2024-05-07,1.5679,1.6129,,,1,-0.42,开放申购,开放赎回,,,,
2024-05-08,1.5476,1.5926,,,1,-1.29,开放申购,开放赎回,,,,
2024-05-09,1.5625,1.6075,,,1,0.96,开放申购,开放赎回,,,,
2024-05-10,1.5470,1.5920,,,1,-0.99,开放申购,开放赎回,,,,
2024-05-13,1.5362,1.5812,,,1,-0.70,开放申购,开放赎回,,,,
2024-05-14,1.5388,1.5838,,,1,0.17,开放申购,开放赎回,,,,
2024-05-15,1.5303,1.5753,,,1,-0.55,开放申购,开放赎回,,,,
2024-05-16,1.5359,1.5809,,,1,0.37,开放申购,开放赎回,,,,
2024-05-17,1.5505,1.5955,,,1,0.95,开放申购,开放赎回,,,,
2024-05-20,1.5659,1.6109,,,1,0.99,开放申购,开放赎回,,,,
2024-05-21,1.5551,1.6001,,,1,-0.69,开放申购,开放赎回,,,,
2024-05-22,1.5547,1.5997,,,1,-0.03,开放申购,开放赎回,,,,
2024-05-23,1.5355,1.5805,,,1,-1.23,开放申购,开放赎回,,,,
2024-05-24,1.5143,1.5593,,,1,-1.38,开放申购,开放赎回,,,,
2024-05-27,1.5231,1.5681,,,1,0.58,开放申购,开放赎回,,,,
2024-05-28,1.5093,1.5543,,,1,-0.91,开放申购,开放赎回,,,,
2024-05-29,1.5081,1.5531,,,1,-0.08,开放申购,开放赎回,,,,
2024-05-30,1.5065,1.5515,,,1,-0.11,开放申购,开放赎回,,,,
2024-05-31,1.5157,1.5607,,,1,0.61,开放申购,开放赎回,,,,
2024-06-03,1.5279,1.5729,,,1,0.80,开放申购,开放赎回,,,,
2024-06-04,1.5308,1.5758,,,1,0.19,开放申购,开放赎回,,,,
2024-06-05,1.5223,1.5673,,,1,-0.56,开放申购,开放赎回,,,,
2024-06-06,1.5132,1.5582,,,1,-0.60,开放申购,开放赎回,,,,
2024-06-07,1.4995,1.5445,,,1,-0.91,开放申购,开放赎回,,,,
2024-06-11,1.5120,1.5570,,,1,0.83,开放申购,开放赎回,,,,
2024-06-12,1.5217,1.5667,,,1,0.64,开放申购,开放赎回,,,,
2024-06-13,1.5328,1.5778,,,1,0.73,开放申购,开放赎回,,,,
2024-06-14,1.5500,1.5950,,,1,1.12,开放申购,开放赎回,,,,
2024-06-17,1.5580,1.6030,,,1,0.52,开放申购,开放赎回,,,,
2024-06-18,1.5709,1.6159,,,1,0.83,开放申购,开放赎回,,,,
2024-06-19,1.5602,1.6052,,,1,-0.68,开放申购,开放赎回,,,,
2024-06-20,1.5464,1.5914,,,1,-0.88,开放申购,开放赎回,,,,
2024-06-21,1.5460,1.5910,,,1,-0.03,开放申购,开放赎回,,,,
2024-06-24,1.5167,1.5617,,,1,-1.90,开放申购,开放赎回,,,,
2024-06-25,1.4985,1.5435,,,1,-1.20,开放申购,开放赎回,,,,
2024-06-26,1.5247,1.5697,,,1,1.75,开放申购,开放赎回,,,,
2024-06-27,1.5042,1.5492,,,1,-1.34,开放申购,开放赎回,,,,
2024-06-28,1.5178,1.5628,,,1,0.90,开放申购,开放赎回,,,,
2024-06-30,1.5178,1.5628,,,0,0.00,开放申购,开放赎回,,,,
2024-07-01,1.5279,1.5729,,,1,0.67,开放申购,开放赎回,,,,
2024-07-02,1.5214,1.5664,,,1,-0.43,开放申购,开放赎回,,,,
2024-07-03,1.5088,1.5538,,,1,-0.83,开放申购,开放赎回,,,,
2024-07-04,1.5015,1.5465,,,1,-0.48,开放申购,开放赎回,,,,
2024-07-05,1.5020,1.5470,,,1,0.03,开放申购,开放赎回,,,,
2024-07-08,1.4912,1.5362,,,1,-0.72,开放申购,开放赎回,,,,
2024-07-09,1.5245,1.5695,,,1,2.23,开放申购,开放赎回,,,,
2024-07-10,1.5281,1.5731,,,1,0.24,开放申购,开放赎回,,,,
2024-07-11,1.5360,1.5810,,,1,0.52,开放申购,开放赎回,,,,
2024-07-12,1.5192,1.5642,,,1,-1.09,开放申购,开放赎回,,,,
2024-07-15,1.5097,1.5547,,,1,-0.63,开放申购,开放赎回,,,,
2024-07-16,1.5314,1.5764,,,1,1.44,开放申购,开放赎回,,,,
2024-07-17,1.5124,1.5574,,,1,-1.24,开放申购,开放赎回,,,,
2024-07-18,1.5137,1.5587,,,1,0.09,开放申购,开放赎回,,,,
2024-07-19,1.5153,1.5603,,,1,0.11,开放申购,开放赎回,,,,
2024-07-22,1.5172,1.5622,,,1,0.13,开放申购,开放赎回,,,,
2024-07-23,1.4890,1.5340,,,1,-1.86,开放申购,开放赎回,,,,
2024-07-24,1.4826,1.5276,,,1,-0.43,开放申购,开放赎回,,,,
2024-07-25,1.4664,1.5114,,,1,-1.09,开放申购,开放赎回,,,,
2024-07-26,1.4862,1.5312,,,1,1.35,开放申购,开放赎回,,,,
2024-07-29,1.4916,1.5366,,,1,0.36,开放申购,开放赎回,,,,
2024-07-30,1.4885,1.5335,,,1,-0.21,开放申购,开放赎回,,,,
2024-07-31,1.5265,1.5715,,,1,2.55,开放申购,开放赎回,,,,
2024-08-01,1.5234,1.5684,,,1,-0.20,开放申购,开放赎回,,,,
2024-08-02,1.4891,1.5341,,,1,-2.25,开放申购,开放赎回,,,,
2024-08-05,1.4515,1.4965,,,1,-2.53,开放申购,开放赎回,,,,
2024-08-06,1.4714,1.5164,,,1,1.37,开放申购,开放赎回,,,,
2024-08-07,1.4720,1.5170,,,1,0.04,开放申购,开放赎回,,,,
2024-08-08,1.4633,1.5083,,,1,-0.59,开放申购,开放赎回,,,,
2024-08-09,1.4635,1.5085,,,1,0.01,开放申购,开放赎回,,,,
2024-08-12,1.4596,1.5046,,,1,-0.27,开放申购,开放赎回,,,,
2024-08-13,1.4691,1.5141,,,1,0.65,开放申购,开放赎回,,,,
2024-08-14,1.4636,1.5086,,,1,-0.37,开放申购,开放赎回,,,,
2024-08-15,1.4740,1.5190,,,1,0.71,开放申购,开放赎回,,,,
2024-08-16,1.4823,1.5273,,,1,0.56,开放申购,开放赎回,,,,
2024-08-19,1.4843,1.5293,,,1,0.13,开放申购,开放赎回,,,,
2024-08-20,1.4705,1.5155,,,1,-0.93,开放申购,开放赎回,,,,
2024-08-21,1.4750,1.5200,,,1,0.31,开放申购,开放赎回,,,,
2024-08-22,1.4596,1.5046,,,1,-1.04,开放申购,开放赎回,,,,
2024-08-23,1.4554,1.5004,,,1,-0.29,开放申购,开放赎回,,,,
2024-08-26,1.4446,1.4896,,,1,-0.74,开放申购,开放赎回,,,,
2024-08-27,1.4333,1.4783,,,1,-0.78,开放申购,开放赎回,,,,
2024-08-28,1.4360,1.4810,,,1,0.19,开放申购,开放赎回,,,,
2024-08-29,1.4389,1.4839,,,1,0.20,限制大额申购,开放赎回,,,,
